日期,复权净值
2022-10-27,1.0
2022-10-28,1.0
2022-10-31,1.0
2022-11-04,1.0
2022-11-11,1.0
2022-11-18,0.986
2022-11-25,0.988
2022-11-30,0.994
2022-12-02,1.002
2022-12-09,0.993
2022-12-16,0.979
2022-12-23,0.962
2022-12-30,0.972
2023-01-06,0.992
2023-01-13,0.997
2023-01-20,1.017
2023-01-31,1.017
2023-02-03,1.018
2023-02-10,1.017
2023-02-17,1.005
2023-02-24,1.01
2023-02-28,1.008
2023-03-03,1.017
2023-03-10,1.004
2023-03-17,1.0
2023-03-24,1.01
2023-03-31,1.008
2023-04-07,1.017
2023-04-14,1.017
2023-04-21,1.002
2023-04-28,1.004
2023-05-05,0.998
2023-05-12,0.986
2023-05-19,0.991
2023-05-26,0.991
2023-05-31,0.994
2023-06-02,0.988
2023-06-09,0.981
2023-06-16,0.984
2023-06-21,0.978
2023-06-30,0.979
2023-07-07,0.973
2023-07-14,0.984
2023-07-21,0.979
2023-07-28,1.005
2023-07-31,1.009
2023-08-04,1.006
2023-08-11,0.992
2023-08-18,0.994
2023-08-25,0.986
2023-08-31,0.998
2023-09-01,0.998
2023-09-08,0.995
2023-09-15,0.993
2023-09-22,0.994
2023-09-28,0.989
2023-10-13,0.987
2023-10-20,0.976
2023-10-27,1.002
2023-10-31,1.0
2023-11-03,0.995
2023-11-10,0.999
2023-11-17,1.004
2023-11-24,0.994
2023-11-30,0.992
2023-12-01,0.994
2023-12-08,0.998
2023-12-15,0.991
2023-12-22,0.986
2023-12-29,0.993
2024-01-05,0.997
2024-01-12,1.005
2024-01-19,1.007
2024-01-26,1.022
2024-01-31,1.006
2024-02-02,1.004
2024-02-08,1.013
2024-02-23,1.026
2024-02-29,1.024
2024-03-01,1.026
2024-03-08,1.021
2024-03-15,1.016
2024-03-22,1.019
2024-03-29,1.021
2024-04-03,1.033
2024-04-12,1.048
2024-04-19,1.047
2024-04-26,1.053
2024-04-30,1.056
2024-05-10,1.044
2024-05-17,1.052
2024-05-24,1.061
2024-05-31,1.048
2024-06-07,1.056
2024-06-14,1.069
2024-06-21,1.068
2024-06-28,1.065
2024-07-05,1.078
2024-07-12,1.07
2024-07-19,1.077
2024-07-26,1.111
2024-07-31,1.11
2024-08-02,1.107
2024-08-09,1.103
2024-08-16,1.097
2024-08-23,1.101
2024-08-30,1.119
2024-09-06,1.108
2024-09-13,1.098
2024-09-20,1.082
2024-09-27,1.127
2024-09-30,1.143
2024-10-11,1.147
2024-10-18,1.141
2024-10-25,1.137
2024-10-31,1.1400000000000001
2024-11-01,1.134
2024-11-08,1.16
2024-11-15,1.164
2024-11-22,1.175
2024-11-29,1.174
2024-12-06,1.176
2024-12-13,1.186
2024-12-20,1.178
2024-12-27,1.179
2024-12-31,1.181
2025-01-03,1.22
2025-01-10,1.201
2025-01-17,1.232
2025-01-24,1.217
2025-01-27,1.217
2025-02-07,1.2269999999999999
2025-02-14,1.225
2025-02-21,1.236
2025-02-28,1.234
2025-03-07,1.217
2025-03-14,1.212
2025-03-21,1.225
2025-03-28,1.212
2025-03-31,1.213
2025-04-03,1.202
2025-04-11,1.204
2025-04-18,1.194
2025-04-25,1.194
2025-04-30,1.193
2025-05-09,1.195
2025-05-16,1.194
2025-05-23,1.184
2025-05-30,1.168
2025-06-06,1.167
2025-06-13,1.164
2025-06-20,1.158
2025-06-27,1.173
2025-06-30,1.178
2025-07-04,1.175
2025-07-11,1.174
2025-07-18,1.176
2025-07-25,1.185
2025-07-31,1.178
2025-08-01,1.178
2025-08-08,1.184
2025-08-15,1.189
2025-08-22,1.209
2025-08-29,1.204
2025-09-05,1.209
2025-09-12,1.215
2025-09-19,1.201
2025-09-26,1.189
2025-09-30,1.205
2025-10-10,1.202
2025-10-17,1.196
2025-10-24,1.179
2025-10-31,1.179
2025-11-07,1.185
2025-11-14,1.188
